Client 27,file110k1.txt,183,185,140,196,174,
Client 79,file110k1.txt,923,734,1196,703,1435,
Client 86,file110k1.txt,734,223,190,224,949,
Client 124,file110k2.txt,1786,695,1453,684,1505,
Client 104,file110k3.txt,957,931,997,696,641,
Client 49,file110k3.txt,3789,701,693,731,811,
Client 92,file110k3.txt,1916,711,791,690,1383,
Client 142,file110k4.txt,1483,1099,879,764,703,
Client 78,file110k4.txt,1513,686,720,680,2004,
Client 120,file110k5.txt,1121,750,681,703,684,
Client 61,file110k5.txt,2982,687,703,697,680,
Client 107,file130k1.txt,438,645,495,431,434,
Client 114,file130k1.txt,1451,920,1088,5,1260,
Client 119,file130k1.txt,1904,840,1025,1236,1160,
Client 13,file130k1.txt,12,19,21,5,20,
Client 131,file130k1.txt,43,428,374,313,450,
Client 14,file130k1.txt,191,174,202,162,690,
Client 41,file130k1.txt,475,426,13,515,10,
Client 60,file130k1.txt,554,14,8,17,12,
Client 84,file130k1.txt,1023,163,4,4,2206,
Client 122,file130k2.txt,189,702,17,12,26,
Client 134,file130k2.txt,1323,934,849,779,914,
Client 15,file130k2.txt,181,200,174,152,172,
Client 35,file130k2.txt,3,21,13,14,20,
Client 37,file130k2.txt,457,4,1024,1175,472,
Client 0,file130k3.txt,180,131,150,130,222,
Client 116,file130k3.txt,584,845,20,99,94,
Client 33,file130k3.txt,13,17,24,221,17,
Client 48,file130k3.txt,3,4,7,4,50,
Client 126,file130k4.txt,1682,572,693,26,731,
Client 140,file130k4.txt,1174,836,370,475,13,
Client 26,file130k4.txt,699,687,699,186,728,
Client 45,file130k4.txt,42,18,9,23,615,
Client 52,file130k4.txt,16,6,3,9,11,
Client 90,file130k4.txt,1515,296,370,14,1078,
Client 18,file130k5.txt,178,175,200,168,202,
Client 40,file130k5.txt,685,5,23,24,21,
Client 73,file130k5.txt,23,1245,16,724,555,
Client 80,file130k5.txt,1536,126,255,144,2178,
Client 85,file130k5.txt,917,14,13,9,1920,
Client 71,file1m1.txt,1401,1463,760,754,1595,
Client 91,file1m1.txt,2071,844,906,743,1434,
Client 32,file1m2.txt,306,186,201,1266,235,
Client 72,file1m2.txt,37,39,746,36,827,
Client 74,file1m2.txt,759,1910,761,797,1245,
